denom,type,stat,alpha,sample_mean,sample_sd
140,PA,BB_pct,0.546494776,10.92541667,4.692621437
140,PA,OBP,0.29398102,43.92083333,6.524426107
140,PA,HR,0.500494885,3.566666667,2.628548602
140,PA,HBP,0.35476428,1.234166667,1.374209892
140,PA,X1B,0.380865161,21.49875,5.409530913
140,PA,wOBA,0.311343968,44.29534,7.266690713
140,PA,2B_pct,0.133746522,6.389583333,2.651711016
140,PA,3B_pct,0.280159833,0.709166667,0.988680902
150,PA,K_pct,0.760456969,28.79267774,9.752910588
150,PA,BB_pct,0.567245914,11.71434653,4.973752509
150,PA,OBP,0.31345772,47.15708812,6.852269128
150,PA,HR,0.520979504,3.865900383,2.793942601
150,PA,HBP,0.372166774,1.32183908,1.441755279
150,PA,X1B,0.395146671,23.06811409,5.66862843
150,PA,wOBA,0.323051553,47.6076109,7.602008313
150,PA,2B_pct,0.123636356,6.858237548,2.731433616
150,PA,3B_pct,0.298907914,0.762026394,1.038437751
160,PA,K_pct,0.772104753,30.63778842,10.31740689
160,PA,BB_pct,0.578823409,12.51545494,5.211205652
160,PA,OBP,0.329287258,50.43665651,7.165023249
160,PA,HR,0.53431158,4.124945581,2.927189956
160,PA,HBP,0.383639308,1.406181976,1.500875502
160,PA,X1B,0.410285994,24.68437092,5.9368838
160,PA,wOBA,0.337868556,50.91288724,7.943228019
160,PA,2B_pct,0.138910962,7.368306487,2.855584167
160,PA,3B_pct,0.291960305,0.79973879,1.058786006
170,PA,K_pct,0.77992365,32.44727435,10.81058271
170,PA,BB_pct,0.594277286,13.35165326,5.483027369
170,PA,OBP,0.331734359,53.75692583,7.405846729
170,PA,HR,0.552216983,4.408400357,3.085629523
170,PA,HBP,0.397587993,1.495531725,1.565648126
170,PA,X1B,0.428944643,26.28060769,6.223801717
170,PA,wOBA,0.345424211,54.27771671,8.246385997
170,PA,2B_pct,0.149519278,7.855227882,2.966441257
170,PA,3B_pct,0.318297205,0.856121537,1.116317613
180,PA,K_pct,0.789949437,34.22085048,11.36901475
180,PA,BB_pct,0.612368377,14.13260174,5.770922216
180,PA,OBP,0.351614642,57.02972108,7.740208469
180,PA,HR,0.562070903,4.678555098,3.214433386
180,PA,HBP,0.412664133,1.593507087,1.636672002
180,PA,X1B,0.451027763,27.89666209,6.537968691
180,PA,wOBA,0.360413814,57.59914861,8.591119367
180,PA,2B_pct,0.147465966,8.343392775,3.053436265
180,PA,3B_pct,0.33263214,0.909922268,1.163105972
190,PA,K_pct,0.798444521,36.00565238,11.90960954
190,PA,BB_pct,0.628293178,14.93311352,6.057161818
190,PA,OBP,0.366221925,60.34243994,8.048452652
190,PA,HR,0.5778998,4.982571832,3.378311037
190,PA,HBP,0.413606492,1.67074894,1.677434297
190,PA,X1B,0.464569001,29.50164861,6.806631193
190,PA,wOBA,0.372906113,60.99004852,8.929960036
190,PA,2B_pct,0.15246037,8.832312765,3.150655075
190,PA,3B_pct,0.354436166,0.969382949,1.220506896
200,PA,K_pct,0.806471797,37.7788508,12.45449134
200,PA,BB_pct,0.639185028,15.72815065,6.309411298
200,PA,OBP,0.38124912,63.62723322,8.360888473
200,PA,HR,0.591658764,5.287783679,3.537957115
200,PA,HBP,0.432829429,1.76146789,1.751212849
200,PA,X1B,0.475262163,31.09560599,7.058180234
200,PA,wOBA,0.390065987,64.35194737,9.302785806
200,PA,2B_pct,0.163935113,9.306132303,3.256054347
200,PA,3B_pct,0.364385426,1.024142926,1.264298483
210,PA,K_pct,0.812237179,39.56403941,12.94510484
210,PA,BB_pct,0.645792644,16.52955665,6.528540919
210,PA,OBP,0.388335326,66.83596059,8.61801999
210,PA,HR,0.600931254,5.551724138,3.667156655
210,PA,HBP,0.444326579,1.842857143,1.809682004
210,PA,X1B,0.486445256,32.66995074,7.312663355
210,PA,wOBA,0.39832553,67.5841532,9.59780659
210,PA,2B_pct,0.165117951,9.768965517,3.338519077
210,PA,3B_pct,0.380776312,1.071428571,1.31012715
220,PA,K_pct,0.818567435,41.28679818,13.45934773
220,PA,BB_pct,0.658103993,17.39099646,6.814441965
220,PA,OBP,0.395822313,70.20536166,8.881946821
220,PA,HR,0.608423876,5.858877086,3.80294119
220,PA,HBP,0.453318371,1.945877592,1.874775142
220,PA,X1B,0.494329366,34.27516439,7.5476325
220,PA,wOBA,0.400763066,71.00652453,9.856429053
220,PA,2B_pct,0.17156543,10.24633283,3.432329911
220,PA,3B_pct,0.387462122,1.117855336,1.345546656
230,PA,K_pct,0.823089538,43.0389206,13.92298355
230,PA,BB_pct,0.667853577,18.20550078,7.073366515
230,PA,OBP,0.402072033,73.54021796,9.133731064
230,PA,HR,0.61829586,6.180072652,3.955523419
230,PA,HBP,0.459640314,2.04566684,1.93347047
230,PA,X1B,0.505778765,35.85054489,7.807621916
230,PA,wOBA,0.405464655,74.42990659,10.13422122
230,PA,2B_pct,0.188954899,10.73482097,3.550371364
230,PA,3B_pct,0.394898013,1.176959004,1.38914666
240,PA,K_pct,0.829188184,44.75891432,14.45546553
240,PA,BB_pct,0.672790042,19.07450772,7.293904881
240,PA,OBP,0.409268032,76.94252262,9.393645249
240,PA,HR,0.625722044,6.458222459,4.083556891
240,PA,HBP,0.467911636,2.122405535,1.984745704
240,PA,X1B,0.514121714,37.51303885,8.052987147
240,PA,wOBA,0.416306225,77.86061203,10.45421856
240,PA,2B_pct,0.198002323,11.21713677,3.649544313
240,PA,3B_pct,0.40909025,1.240553486,1.443148741
250,PA,K_pct,0.834775383,46.56495633,14.99383216
250,PA,BB_pct,0.68495807,19.88755459,7.589366942
250,PA,OBP,0.417987124,80.29257642,9.663513586
250,PA,HR,0.63960193,6.787117904,4.265299252
250,PA,HBP,0.486290331,2.222161572,2.066689895
250,PA,X1B,0.526655568,39.125,8.331157098
250,PA,wOBA,0.424222742,81.30255349,10.75817261
250,PA,2B_pct,0.211996963,11.6959607,3.759397481
250,PA,3B_pct,0.422725859,1.28930131,1.488472051
260,PA,K_pct,0.838750267,48.24705882,15.4571962
260,PA,BB_pct,0.688224087,20.72829132,7.78866103
260,PA,OBP,0.429753297,83.65378151,9.960517262
260,PA,HR,0.648366522,7.0767507,4.409178484
260,PA,HBP,0.496149685,2.309243697,2.127296633
260,PA,X1B,0.528959484,40.73277311,8.521126896
260,PA,wOBA,0.437288072,84.72655014,11.10544891
260,PA,2B_pct,0.209149736,12.22689076,3.836418976
260,PA,3B_pct,0.429455329,1.332773109,1.522317676
270,PA,K_pct,0.843625596,49.9671848,15.97872883
270,PA,BB_pct,0.695939472,21.56419113,8.043770405
270,PA,OBP,0.434811903,87.08520438,10.20242668
270,PA,HR,0.657885557,7.414507772,4.574873421
270,PA,HBP,0.502018278,2.392630973,2.178157393
270,PA,X1B,0.534174363,42.31951641,8.733960559
270,PA,wOBA,0.442708141,88.29029016,11.3943524
270,PA,2B_pct,0.204402781,12.78871618,3.911275414
270,PA,3B_pct,0.445966947,1.390328152,1.577739281
280,PA,K_pct,0.847639953,51.62329982,16.46198853
280,PA,BB_pct,0.704552598,22.38438794,8.313322446
280,PA,OBP,0.444289019,90.5138971,10.48398111
280,PA,HR,0.665741767,7.723832052,4.72360493
280,PA,HBP,0.506883463,2.463039622,2.220991832
280,PA,X1B,0.544397759,43.98758131,9.001733535
280,PA,wOBA,0.454628527,91.79715671,11.74144667
280,PA,2B_pct,0.206061165,13.34062685,3.998357572
280,PA,3B_pct,0.446402936,1.426966292,1.599136294
290,PA,K_pct,0.851376102,53.33737129,16.94753194
290,PA,BB_pct,0.715093709,23.14112659,8.607611766
290,PA,OBP,0.457396204,93.83767414,10.80018228
290,PA,HR,0.672854027,8.048455482,4.873560304
290,PA,HBP,0.522159259,2.539672925,2.290977219
290,PA,X1B,0.550943456,45.62447002,9.23331161
290,PA,wOBA,0.467904315,95.24798849,12.11110154
290,PA,2B_pct,0.213299384,13.86795881,4.094875957
290,PA,3B_pct,0.449965157,1.470018171,1.62839685
300,PA,K_pct,0.85573313,55.04791537,17.47970377
300,PA,BB_pct,0.725381647,24.02302427,8.930900786
300,PA,OBP,0.456498108,97.34163037,10.98429324
300,PA,HR,0.675784482,8.347853143,4.985942261
300,PA,HBP,0.528925539,2.635345364,2.350420908
300,PA,X1B,0.558167492,47.30802738,9.476802853
300,PA,wOBA,0.465656857,98.78995706,12.30222939
300,PA,2B_pct,0.214344272,14.38643435,4.173168181
300,PA,3B_pct,0.453756426,1.518979465,1.661064477
310,PA,K_pct,0.860621044,56.75176395,18.06007186
310,PA,BB_pct,0.733302974,24.85311097,9.21701566
310,PA,OBP,0.46665834,100.797306,11.27779546
310,PA,HR,0.680174503,8.7055805,5.12600292
310,PA,HBP,0.543169223,2.744708146,2.435614264
310,PA,X1B,0.571289934,48.92880051,9.78298203
310,PA,wOBA,0.471473778,102.3501366,12.59343382
310,PA,2B_pct,0.226260184,14.90955741,4.280613341
310,PA,3B_pct,0.467150257,1.550994227,1.699447913
320,PA,K_pct,0.864553882,58.24950364,18.57194596
320,PA,BB_pct,0.742824763,25.67703508,9.539336237
320,PA,OBP,0.474466901,104.1972204,11.54728913
320,PA,HR,0.686490698,9.025810721,5.271439565
320,PA,HBP,0.547325891,2.841164792,2.489431908
320,PA,X1B,0.579933019,50.53077432,10.04316245
320,PA,wOBA,0.477079878,105.854552,12.87586795
320,PA,2B_pct,0.233890531,15.45598941,4.379575057
320,PA,3B_pct,0.474999909,1.596955659,1.737308948
330,PA,K_pct,0.868212342,60.03801765,19.11577767
330,PA,BB_pct,0.748105943,26.4772573,9.788021188
330,PA,OBP,0.484899328,107.5281738,11.84647836
330,PA,HR,0.691441479,9.346911066,5.407053594
330,PA,HBP,0.539730417,2.934826884,2.509458112
330,PA,X1B,0.586689274,52.10726409,10.28186498
330,PA,wOBA,0.486909341,109.2848377,13.20992291
330,PA,2B_pct,0.262461384,15.97895451,4.53791003
330,PA,3B_pct,0.488445421,1.641547862,1.784355563
340,PA,K_pct,0.872232642,61.80307263,19.69825602
340,PA,BB_pct,0.750521756,27.31913408,9.990602003
340,PA,OBP,0.482768997,110.9532123,12.00517781
340,PA,HR,0.693125581,9.658519553,5.511693691
340,PA,HBP,0.551139555,3.004888268,2.571271399
340,PA,X1B,0.592776951,53.80307263,10.52362377
340,PA,wOBA,0.482434161,112.7797088,13.3595631
340,PA,2B_pct,0.26272609,16.47695531,4.608899689
340,PA,3B_pct,0.49405655,1.680865922,1.815600485
350,PA,K_pct,0.875948714,63.63857143,20.28406413
350,PA,BB_pct,0.756405544,28.11785714,10.2572192
350,PA,OBP,0.487550919,114.1685714,12.23589375
350,PA,HR,0.699302399,9.965714286,5.655739289
350,PA,HBP,0.551124437,3.074285714,2.600966759
350,PA,X1B,0.604657038,55.35571429,10.833685
350,PA,wOBA,0.483540316,116.06901,13.57158318
350,PA,2B_pct,0.261327584,16.95785714,4.671366827
350,PA,3B_pct,0.501446841,1.715,1.847526987
360,PA,K_pct,0.879971431,65.45561262,20.91149914
360,PA,BB_pct,0.76223463,28.96845194,10.53724405
360,PA,OBP,0.487444964,117.5707997,12.4126291
360,PA,HR,0.704773439,10.29493764,5.801123687
360,PA,HBP,0.556339571,3.146735143,2.646951669
360,PA,X1B,0.613681902,56.92883346,11.11395046
360,PA,wOBA,0.484351308,119.5879751,13.78935848
360,PA,2B_pct,0.261510292,17.50476889,4.746334779
360,PA,3B_pct,0.514076191,1.772560528,1.902447177
370,PA,K_pct,0.882331834,67.18442933,21.40144705
370,PA,BB_pct,0.767283278,29.77853364,10.79874027
370,PA,OBP,0.496165679,120.9108088,12.6941049
370,PA,HR,0.714554364,10.59939531,5.985716705
370,PA,HBP,0.566070408,3.238851096,2.715245669
370,PA,X1B,0.612057624,58.5457294,11.24718769
370,PA,wOBA,0.499757547,123.0018753,14.19761703
370,PA,2B_pct,0.288451763,17.99092971,4.901749599
370,PA,3B_pct,0.518208902,1.830687831,1.9416749
380,PA,K_pct,0.884060271,68.67286822,21.81187551
380,PA,BB_pct,0.771965365,30.52248062,11.04556639
380,PA,OBP,0.504697981,124.2658915,12.97714764
380,PA,HR,0.718572458,10.91395349,6.117003026
380,PA,HBP,0.578791872,3.324806202,2.792112658
380,PA,X1B,0.618363361,60.25116279,11.50142917
380,PA,wOBA,0.510874339,126.4639791,14.55810251
380,PA,2B_pct,0.30682527,18.47906977,5.033012421
380,PA,3B_pct,0.519419277,1.886821705,1.973736787
390,PA,K_pct,0.88695152,70.24102155,22.34755262
390,PA,BB_pct,0.777720417,31.27055068,11.32455006
390,PA,OBP,0.513664145,127.7565842,13.27314297
390,PA,HR,0.726026377,11.25458899,6.29492075
390,PA,HBP,0.586747321,3.430965682,2.863407805
390,PA,X1B,0.622782006,61.99441341,11.73220088
390,PA,wOBA,0.521148289,130.0737686,14.9210674
390,PA,2B_pct,0.312327157,18.99760575,5.123318926
390,PA,3B_pct,0.537923204,1.948922586,2.045553708
400,PA,K_pct,0.89000621,71.9127572,22.927052
400,PA,BB_pct,0.782450214,32.06831276,11.59202596
400,PA,OBP,0.526227797,131.2065844,13.62328983
400,PA,HR,0.731031515,11.52427984,6.428995898
400,PA,HBP,0.588259551,3.509465021,2.901405833
400,PA,X1B,0.629877323,63.77366255,12.00928928
400,PA,wOBA,0.530419121,133.5482634,15.25876889
400,PA,2B_pct,0.321710266,19.50288066,5.226637823
400,PA,3B_pct,0.54635236,1.997530864,2.090023488
410,PA,K_pct,0.891723827,73.68336163,23.39405871
410,PA,BB_pct,0.786120117,33.06281834,11.86805653
410,PA,OBP,0.528045353,134.7852292,13.82727112
410,PA,HR,0.73020704,11.95415959,6.537229154
410,PA,HBP,0.604496493,3.590831919,2.994299453
410,PA,X1B,0.639436421,65.32342954,12.31454691
410,PA,wOBA,0.533061751,137.2842513,15.5195786
410,PA,2B_pct,0.310992226,20.03056027,5.255486257
410,PA,3B_pct,0.552297898,2.027164686,2.119443253
420,PA,K_pct,0.893134628,75.31638913,23.81560714
420,PA,BB_pct,0.78845935,33.91060473,12.08547343
420,PA,OBP,0.531565817,138.2199825,14.05121536
420,PA,HR,0.735903162,12.3295355,6.709517635
420,PA,HBP,0.608089312,3.659947415,3.036916083
420,PA,X1B,0.645422768,66.92725679,12.56921058
420,PA,wOBA,0.539832781,140.8710868,15.84214111
420,PA,2B_pct,0.321860776,20.54425942,5.364684299
420,PA,3B_pct,0.552505631,2.080631025,2.147740948
430,PA,K_pct,0.89554976,76.81793478,24.33798737
430,PA,BB_pct,0.794103238,34.69021739,12.38986126
430,PA,OBP,0.5397454,141.5960145,14.34536523
430,PA,HR,0.739706905,12.67934783,6.853240006
430,PA,HBP,0.606370784,3.746376812,3.066058081
430,PA,X1B,0.653045778,68.56521739,12.8599156
430,PA,wOBA,0.54874128,144.3815136,16.19957396
430,PA,2B_pct,0.331446259,21.04076087,5.467713341
430,PA,3B_pct,0.55788404,2.137681159,2.190201633
440,PA,K_pct,0.897657781,78.2268431,24.82524651
440,PA,BB_pct,0.798942714,35.43005671,12.67195162
440,PA,OBP,0.55176835,144.9517958,14.70557922
440,PA,HR,0.743104232,13.02173913,6.990769695
440,PA,HBP,0.609347577,3.827977316,3.111107435
440,PA,X1B,0.664543855,70.20321361,13.23227145
440,PA,wOBA,0.555871307,147.9006408,16.53090375
440,PA,2B_pct,0.340631318,21.57939509,5.575306315
440,PA,3B_pct,0.562742288,2.193761815,2.231044155
450,PA,K_pct,0.898457351,79.68834951,25.16825712
450,PA,BB_pct,0.806390558,36.26893204,13.0632202
450,PA,OBP,0.561169918,148.4262136,15.03432717
450,PA,HR,0.750012967,13.31747573,7.166436281
450,PA,HBP,0.610310399,3.930097087,3.156274235
450,PA,X1B,0.667232898,71.89320388,13.44311893
450,PA,wOBA,0.563214009,151.4315243,16.86076701
450,PA,2B_pct,0.341101908,22.08834951,5.642659963
450,PA,3B_pct,0.56698155,2.261165049,2.27607376
460,PA,K_pct,0.90025647,81.38261738,25.66574483
460,PA,BB_pct,0.810529751,36.99100899,13.33697563
460,PA,OBP,0.562080467,151.9220779,15.22169248
460,PA,HR,0.756373421,13.65434565,7.349993442
460,PA,HBP,0.614157722,3.981018981,3.192591324
460,PA,X1B,0.670986319,73.70829171,13.6853506
460,PA,wOBA,0.566288233,155.0778332,17.12342314
460,PA,2B_pct,0.342743953,22.6013986,5.714889154
460,PA,3B_pct,0.567986192,2.347652348,2.321856366
470,PA,K_pct,0.90348704,83.08921162,26.36256369
470,PA,BB_pct,0.814290281,37.85062241,13.62593618
470,PA,OBP,0.574113721,155.3070539,15.60364177
470,PA,HR,0.757645586,14.08713693,7.484472018
470,PA,HBP,0.606967942,4.06846473,3.198111029
470,PA,X1B,0.67491916,75.23443983,13.91111886
470,PA,wOBA,0.571814192,158.6722303,17.44382736
470,PA,2B_pct,0.335585765,23.07883817,5.744111464
470,PA,3B_pct,0.576167159,2.390041494,2.365234615
480,PA,K_pct,0.904557731,84.60841424,26.76206767
480,PA,BB_pct,0.817635369,38.85652643,13.9286177
480,PA,OBP,0.573614949,159.021575,15.77068283
480,PA,HR,0.760552715,14.47572816,7.632430797
480,PA,HBP,0.610931932,4.13592233,3.241015791
480,PA,X1B,0.68426813,76.91046386,14.27013255
480,PA,wOBA,0.569473255,162.4943808,17.60129547
480,PA,2B_pct,0.339745793,23.63322546,5.83051634
480,PA,3B_pct,0.57903969,2.436893204,2.396464786
490,PA,K_pct,0.907480056,85.96528555,27.4082637
490,PA,BB_pct,0.821883532,39.53191489,14.21741576
490,PA,OBP,0.584813434,162.3885778,16.14835105
490,PA,HR,0.762580407,14.84098544,7.760817702
490,PA,HBP,0.605394076,4.188129899,3.238708252
490,PA,X1B,0.689636113,78.66069429,14.55314177
